seq_name,run_id,play_rate,N,rmse,mean,median,std,max,min
chess/seq-01,run_001,0.1,30,0.05603688211594249,0.048359753833855976,0.03901742956657826,0.028310181320593607,0.13433094455474662,0.017676285031139008
chess/seq-02,run_001,0.1,51,0.06408468894316775,0.05940192551623788,0.05673290688366088,0.024047008169539412,0.11807674471187306,0.013741350445827576
chess/seq-03,run_001,0.1,54,0.06399892177524473,0.05771006768269267,0.051197357895704745,0.027666045551414192,0.1481344734748593,0.015066597874983084
chess/seq-04,run_001,0.1,50,0.0728535596875664,0.06796580661680679,0.06246380977998887,0.026235287116336742,0.15340034091067548,0.030088735422146764
chess/seq-05,run_001,0.1,38,0.04176050493011149,0.037560293914673304,0.031918789932657704,0.0182527831593218,0.09073016882335062,0.014238393652856573
chess/seq-06,run_001,0.1,24,0.05089330089415809,0.04428493223338154,0.03763463556654006,0.025079331191005007,0.10402467973499595,0.016065169257941582
fire/seq-01,run_001,0.1,33,0.062206684330728526,0.05763542443528344,0.052475915595379494,0.02340575624900079,0.1221509963044043,0.02246495745863671
fire/seq-02,run_001,0.1,24,0.05621643258342071,0.049344561716689994,0.04788940699838695,0.026933279068729412,0.10204688720042297,0.011335825505523745
fire/seq-03,run_001,0.1,30,0.056125248171217515,0.05316850238580582,0.04941004411441416,0.017976480087361864,0.0863638712336745,0.022957538848308763
fire/seq-04,run_001,0.1,35,0.07203649193345896,0.0638609498237001,0.05619116877235059,0.03333219551265945,0.1540915443322526,0.01713659737733822
heads/seq-01,run_001,0.1,47,0.06251937358713454,0.05835799889195745,0.05810935395502961,0.02242801906219072,0.11385673567984989,0.016896692736638422
heads/seq-02,run_001,0.1,54,0.04684243717766755,0.040904250274459424,0.03972404093609108,0.022826656133304268,0.12178934196151668,0.007997515195641484
office/seq-01,run_001,0.1,55,0.11172625889115556,0.09958617830057559,0.09364862567476911,0.05064928446976801,0.27374751421942556,0.021326289804328602
office/seq-02,run_001,0.1,71,0.14642357679773876,0.13390608577138052,0.11955304059471772,0.059237015755615,0.2959586178021899,0.04446487966231702
office/seq-03,run_001,0.1,59,0.09926953851591715,0.0873360083679089,0.069683112819278,0.047189648436110516,0.1812236612861369,0.018581042782066213
office/seq-04,run_001,0.1,50,0.08692534707367713,0.07955392881887598,0.07161281751027122,0.03503124852700006,0.17973972303937236,0.015686616009748158
office/seq-05,run_001,0.1,60,0.20213539200298505,0.16559800679443684,0.1292192192140504,0.11591383371241787,0.43550885404451,0.020243886701935738
office/seq-06,run_001,0.1,43,0.14610927346626798,0.12801921969421665,0.11665931672578327,0.07042016175588192,0.30185286816963214,0.040683462174178245
