seq_name,run_id,play_rate,N,rmse,mean,median,std,max,min
redkitchen/seq-06,run_001,0.1,40,0.09209943188173543,0.08489523470995332,0.08497123055405648,0.03570860507609282,0.1857971911768452,0.016400886332019755
redkitchen/seq-07,run_001,0.1,38,0.08459793622967184,0.07831056298972199,0.07333818338970086,0.03200416439390989,0.1683317503113625,0.025662316385961694
redkitchen/seq-08,run_001,0.1,53,0.09315179073375693,0.08196177906039144,0.0772403354365024,0.04426649850802775,0.21738664698953455,0.02079515436028559
redkitchen/seq-11,run_001,0.1,38,0.08618532106559054,0.08105604877477716,0.07617324667030363,0.02928867569897737,0.13717339112961321,0.027345767289489894
redkitchen/seq-12,run_001,0.1,41,0.09987300459468304,0.08595659922852636,0.07040877919892945,0.050853516061685235,0.2800069113114186,0.02634929434041692
redkitchen/seq-13,run_001,0.1,44,0.22794918471509046,0.1931935277282413,0.1592293569526526,0.12098384874102697,0.4847720889094011,0.02331939505501508
redkitchen/seq-14,run_001,0.1,43,0.10372873925523539,0.0907828727288595,0.0809920559130644,0.050180886466624997,0.25720598785678184,0.02421303396398957
stairs/seq-01,run_001,0.1,23,0.03870959828976697,0.03611867202471791,0.03596112136176966,0.013923883471431012,0.0677339794165151,0.01549575056991412
stairs/seq-02,run_001,0.1,18,0.0452068805241634,0.04305769354065485,0.03981229587343649,0.013773056076449896,0.0745368103084908,0.025005954713748654
stairs/seq-03,run_001,0.1,14,0.19033027267967698,0.1778651390884535,0.1856581042811573,0.06774662349789315,0.3361241956788622,0.03860552345505832
stairs/seq-04,run_001,0.1,23,0.1157772377605179,0.09663184701431815,0.0816825114830272,0.06377032951190471,0.2873214110132572,0.01892011974711873
stairs/seq-05,run_001,0.1,8,0.032312808788636696,0.029694123007050363,0.027369174047072363,0.012742710490831963,0.053981008002782965,0.013273461890272738
stairs/seq-06,run_001,0.1,29,0.07285396982928213,0.06612622988456197,0.06106206859654716,0.03057813992282744,0.17129759406058306,0.014432619710978263
