chess/seq-01,run_001,0.1,30,0.053302053051352716,0.05034243374744883,0.0491505880710912,0.01751422918295132,0.10111106511976636,0.02186484453290686
chess/seq-02,run_001,0.1,52,0.07738262296036554,0.07039938782162546,0.06621797436813476,0.032124702808998346,0.1465471743208324,0.009587722865693649
chess/seq-03,run_001,0.1,53,0.12788411883490178,0.10813694147134617,0.09010103554093522,0.06826968389704127,0.3697583287406777,0.01452058974945924
chess/seq-04,run_001,0.1,50,0.2054097236039887,0.18777606478901618,0.18025776645231595,0.08326646409820838,0.33114973458330577,0.06090894760352651
chess/seq-05,run_001,0.1,37,0.06941945989661326,0.061845615288140546,0.05243803432619711,0.03153064036724931,0.13489331776011557,0.020559558786578277
chess/seq-06,run_001,0.1,24,0.07681836439995288,0.07012071139279462,0.0739731962794262,0.03137111637880217,0.16063787629279883,0.0115773417343606
fire/seq-01,run_001,0.1,34,0.08724349429428678,0.08233429687838036,0.08358891684726838,0.028852917603250716,0.16304968833982056,0.011173033018575642
fire/seq-02,run_001,0.1,24,0.06201767053204817,0.05791830045652191,0.057149294539643236,0.02217345102706679,0.10005686075869875,0.013604920564540964
fire/seq-03,run_001,0.1,30,0.08309868688573492,0.08010040070974282,0.08182565471902013,0.022120523688919355,0.12154110396440385,0.022452492711143055
fire/seq-04,run_001,0.1,33,0.10565263511038607,0.0942351333007736,0.08723878625038052,0.04777257537074814,0.21306023656117656,0.020066038124068722
heads/seq-01,run_001,0.1,49,0.06542638416158222,0.060876681015377916,0.06384571378088846,0.023971680229196782,0.11624186684967065,0.0023819446322416032
heads/seq-02,run_001,0.1,54,0.11385658021498622,0.10709521481975741,0.11594067767126898,0.03865146596135266,0.17077563949200936,0.02556019781790346
office/seq-01,run_001,0.1,53,0.148675392314881,0.12469952393441133,0.10578013825038411,0.08095925524926066,0.41229669687725345,0.03280846609856419
office/seq-02,run_001,0.1,67,0.14345276094916903,0.13424674928963978,0.12041767229266734,0.05056189206412319,0.2616894855495374,0.048439290255346344
office/seq-03,run_001,0.1,59,0.2519581568500518,0.23042820307037493,0.215468268533474,0.10191052954937176,0.6221534414594961,0.08683536523329
office/seq-04,run_001,0.1,51,0.10771007674980577,0.09715380596740529,0.10237839087563334,0.04650374844565553,0.17777659883764232,0.01697891139322625
office/seq-05,run_001,0.1,60,0.1906494503544574,0.15654131431875704,0.11581352347127902,0.10882109093283729,0.501321887374369,0.01725311642344932
office/seq-06,run_001,0.1,47,0.12967187711791628,0.11145763187168206,0.0933753776762369,0.06627210584280974,0.2798124652006013,0.019704582084926606
office/seq-07,run_001,0.1,63,0.2355481664164417,0.21844584502818784,0.22285649664149473,0.08811555760516207,0.3782775216561079,0.05352522510277557
office/seq-08,run_001,0.1,64,0.2970635594258074,0.2704572353108382,0.24142132917598774,0.12288060142572599,0.547713620918372,0.09310174147010127
office/seq-09,run_001,0.1,53,0.30747643012348264,0.28946166606869406,0.27596469686192465,0.10370004319293587,0.5043658850233206,0.10980759186949336
office/seq-10,run_001,0.1,70,0.22149986548249126,0.20410499877591284,0.19694632287187397,0.08604266315872801,0.5171997789498373,0.012062060710092292
pumpkin/seq-01,run_001,0.1,38,0.24198069335171069,0.2114235703817037,0.16174359669175264,0.11770611641723386,0.4488670275040896,0.04560786195392996
pumpkin/seq-02,run_001,0.1,19,0.2904544606511915,0.25512249052301683,0.1968106044035408,0.1388391462862969,0.5378577693856376,0.06615536158154378
pumpkin/seq-03,run_001,0.1,35,0.3124782912881776,0.27573485786784707,0.26252971553893883,0.14701350510404598,0.6494748623651294,0.0758714706713406
pumpkin/seq-06,run_001,0.1,38,0.14307294032772153,0.13385146062045683,0.1271465232782051,0.050533679301927543,0.3013264381804257,0.05204754112631884
pumpkin/seq-07,run_001,0.1,41,0.15436563502182338,0.1458753492089486,0.12978636629168513,0.05048892719060371,0.2906052064570299,0.04376891922478524
pumpkin/seq-08,run_001,0.1,50,0.16638244495379392,0.15337695955122985,0.14082981268666192,0.06448741169889412,0.31307563407870026,0.04657535383476612
redkitchen/seq-01,run_001,0.1,37,0.10284792514256583,0.08837710056223196,0.06972638430127683,0.052604028385133804,0.2192328932686238,0.013905248054405716
redkitchen/seq-02,run_001,0.1,40,0.2081902787096939,0.18898513196934347,0.15793459533285742,0.087337346214262,0.3853857398790947,0.08885013614975625
redkitchen/seq-03,run_001,0.1,17,0.085306916229286,0.07720353963170302,0.07864786709931064,0.036288888449310275,0.16769655009407283,0.01952017601991943
