scene,sequence,rmse,mean,median,std
chess,seq-01,0.07371706406791978,0.06913090626441828,0.06741485418170191,0.025595377196947128
chess,seq-02,0.0628273516325015,0.06044856119640592,0.06018759416539063,0.017124472617816775
chess,seq-03,0.06432945772696005,0.05982077097644518,0.053137158300639774,0.023659131244160993
chess,seq-04,0.1389582239981636,0.09238835190520121,0.07129836114951928,0.10379682292326925
chess,seq-05,0.060464235911450795,0.05425283676538898,0.05497008292500778,0.02669369826876063
chess,seq-06,0.0589393175606642,0.05712304323460723,0.05631742734224424,0.01451899053426279
fire,seq-01,0.06315663483953732,0.0607360999745848,0.058452303319662204,0.017317236619388818
fire,seq-02,0.048303134703939425,0.04610612602220571,0.045324868063519354,0.01440201254864759
fire,seq-03,0.052720597770275476,0.047884644401626875,0.04118041612810905,0.022057249597012756
fire,seq-04,0.055020894140730484,0.05058931664636188,0.04688300788132112,0.02163376604522668
heads,seq-01,0.03752563669730263,0.03481392792288497,0.031676675614131594,0.014005849924874842
heads,seq-02,0.049765833402415235,0.04572908621304547,0.04415433257876823,0.019633869928182838
office,seq-01,0.15990491953411548,0.1518353931825913,0.13637431058689167,0.05015572418278756
office,seq-02,0.16038917420845777,0.15742141467963247,0.16087420086131177,0.030711323702084358
office,seq-03,0.1630598051060558,0.15730211202818362,0.14216153215935246,0.04294817333365504
office,seq-04,0.1505480839380296,0.13993282596126505,0.12592677835570493,0.055529539849582026
office,seq-05,0.18575474657804525,0.1715917206822519,0.15234393445735347,0.07114145956879055
office,seq-06,0.14196827256838837,0.13288214516138808,0.11603174667328359,0.049973251979033746
office,seq-07,0.1809995436414829,0.16497065995589508,0.16116258597086902,0.07446822243172921
office,seq-08,0.12585635797102906,0.10974691216153018,0.08687263008234201,0.06160712712617908
office,seq-09,0.16570474854229789,0.14956960663401644,0.15935061780936252,0.07132318319320691
office,seq-10,0.16826725981176593,0.15269308176518118,0.13713341851745675,0.07070143920467277
pumpkin,seq-01,0.2111787353388041,0.16566183853218264,0.12945459048759178,0.13096798659761755
pumpkin,seq-02,0.17746326420044398,0.1715796719356997,0.17593600644584584,0.04531695399201329
pumpkin,seq-03,0.1574259293784514,0.1509818498996802,0.1362628030825458,0.04458031226381899
pumpkin,seq-06,0.11765153715348795,0.10737866267191695,0.09345916024262177,0.04808021419845403
pumpkin,seq-07,0.13205949307333179,0.12021996819678075,0.11800345150257027,0.054652254825856804
pumpkin,seq-08,0.12866109492510241,0.11736874087001586,0.10271703094191348,0.052709164420556696
redkitchen,seq-01,0.09873720255137523,0.08957810709587466,0.0888862068871023,0.04153068620660284
redkitchen,seq-02,0.18857591570623689,0.1624898060644925,0.1494861881274679,0.09569712069633744
redkitchen,seq-03,0.1879360884108054,0.1796982823361933,0.18430348367104465,0.05503181491261061
redkitchen,seq-04,0.12593623285142047,0.11030409898486804,0.08875642417259968,0.060769568798401334
redkitchen,seq-05,0.19024118897555903,0.17216357327317688,0.1543670229327684,0.08094080565849224
redkitchen,seq-06,0.11959156443607309,0.10703583567950102,0.08926003792565895,0.05334296734020595
redkitchen,seq-07,0.14786557696480512,0.13558868272707295,0.12431684273390003,0.05899099903775031
redkitchen,seq-08,0.14993227306947557,0.13812632593087543,0.12026876813992174,0.05831641786510342
redkitchen,seq-11,0.1056920236290967,0.09523942334580768,0.08458611457060276,0.0458285511397814
redkitchen,seq-12,0.1333012552513628,0.12224559177171446,0.11811680521069136,0.05315298621876596
redkitchen,seq-13,0.10507189412763777,0.09305629137458385,0.07808048577724055,0.048791695719436444
redkitchen,seq-14,0.11376389953310881,0.10636055503563797,0.09368118026371333,0.040369012490898276
stairs,seq-01,0.17290283745761412,0.16702537249167182,0.18255857376218537,0.044698055269915306
stairs,seq-02,0.08202275773917085,0.07860475753124399,0.07464870663545597,0.023431279960622116
stairs,seq-03,0.12805144829500434,0.12564249033438368,0.13280569367889378,0.024721206140123294
stairs,seq-04,0.0772113136275909,0.07588827960512168,0.07164509889462319,0.014232215943874487
stairs,seq-05,0.13902886167327472,0.13591122830512348,0.1446555304970226,0.02927733592318741
stairs,seq-06,0.12184929432433493,0.11371611526457466,0.10067448923176342,0.04377094534588408
